chromosome	start	end	major_is_allele_a	length	major_readcount	minor_readcount	readcount	allele_ratio	major_depth	minor_depth	total_depth	major_0	minor_0	major_1	minor_1	major_2	minor_2	major_raw	minor_raw	major_depth_e	minor_depth_e	total_depth_e	major_e	minor_e	total_e	major_raw_e	minor_raw_e	major_diff	minor_diff	prob_is_outlier_total	prob_is_outlier_allele	total_likelihood_mask	allele_likelihood_mask
chr1	10000	207666	1	11054.517131510263	3866	1847	35484	0.32329774199194816	2.1721530336872514	1.0377565062649645	3.209909539952216	1	1	3	2	3	1	32.77419663613279	15.340076395552867	0.2348172344193059	0.1252000471319703	0.3600172815512762	2595.7911406620788	1384.0260658862583	3979.817206548337	3.0	1.3153340323209877	0	1	0.010000000000000004	0.010000000000000004	0	0
chr1	257666	297968	1	1587.3957749655174	1406	577	14143	0.2909732728189612	6.317117105051677	2.5924442173647355	8.909561322416412	1	1	3	2	3	1	96.47661485250168	39.233496233019906	0.2348172344193059	0.1252000471319703	0.3600172815512762	372.74788580629365	198.7420258427733	571.4899116490669	3.0	1.3153340323209877	0	1	0.010000000000000004	0.010000000000000004	0	0
chr1	347968	500000	1	107.65464886015688	0	0	1517	0.0	14.091356165868685	0.0	14.091356165868685	1	1	3	2	3	1	215.95601670969927	-0.6088191390440191	0.2348172344193059	0.1252000471319703	0.3600172815512762	25.279166917723522	13.478367111267355	38.757534028990875	3.0	1.3153340323209877	0	1	0.010000000000000004	0.010000000000000004	0	0
chr1	500000	535988	1	165.16608071806832	219	105	2436	0.32407407407407407	9.969090193319765	4.779700777619065	14.74879097093883	1	1	3	2	3	1	152.60243717047382	72.84863251620425	0.2348172344193059	0.1252000471319703	0.3600172815512762	38.78384229409265	20.678801090504965	59.46264338459761	3.0	1.3153340323209877	0	1	0.010000000000000004	0.010000000000000004	0	0
chr1	585988	1000000	1	195774.08085455297	16322	8233	116898	0.33528812869069435	0.3969038597609032	0.20020276175784316	0.5971066215187463	1	1	3	2	3	1	5.491049335294112	2.468022985035495	0.2348172344193059	0.1252000471319703	0.3600172815512762	45971.128237247714	24510.924150208197	70482.05238745591	3.0	1.3153340323209877	0	1	1.0	0.0012711418804791314	1	1
chr1	1000000	1500000	1	499801.5764339053	29888	15492	181572	0.34138386954605554	0.2392674486784015	0.1240207211899691	0.3632881698683706	1	1	3	2	3	1	3.068393695338362	1.2972094085420305	0.2348172344193059	0.1252000471319703	0.3600172815512762	117362.02393661898	62575.180926158	179937.20486277697	3.0	1.3153340323209877	0	1	0.0007897086031199198	0.0009302075235931442	1	1
chr1	1500000	2000000	1	460847.9697030304	32460	16557	183750	0.33778076993696066	0.2640410537177708	0.13468045983996094	0.3987215135577318	1	1	3	2	3	1	3.4491300592184864	1.4610349852823	0.2348172344193059	0.1252000471319703	0.3600172815512762	108215.04573341768	57698.187527492235	165913.2332609099	3.0	1.3153340323209877	0	1	0.052157990066207076	0.001089834586357184	1	1
chr1	2000000	2500000	1	527465.5230598055	20239	10438	189183	0.34025491410502984	0.23662694361678033	0.12203725665655185	0.3586642002733322	1	1	3	2	3	1	3.027812750644561	1.2667262764690694	0.2348172344193059	0.1252000471319703	0.3600172815512762	123857.99537643616	66038.70834757702	189896.70372401318	3.0	1.3153340323209877	0	1	0.0007688342428268911	0.0009745609463594655	1	1
chr1	2500000	2702781	1	164588.35015130302	12454	6352	66580	0.3377645432308838	0.26789038635574836	0.13663399182043628	0.40452437817618464	1	1	3	2	3	1	3.508289027387213	1.4910580950310721	0.2348172344193059	0.1252000471319703	0.3600172815512762	38648.18120016532	20606.46919631637	59254.650396481695	3.0	1.3153340323209877	0	1	0.1654653385798112	0.0011009343481149204	1	1
chr1	2746290	3000000	1	243722.8579340801	10065	5436	85370	0.3506870524482291	0.22743802859675713	0.12283687267282381	0.35027490126958094	1	1	3	2	3	1	2.8865917177279825	1.2790152789800842	0.2348172344193059	0.1252000471319703	0.3600172815512762	57230.327464850074	30514.11330048533	87744.44076533541	3.0	1.3153340323209877	0	1	0.0010276979521174072	0.0008734491812172471	1	1
